date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:10	108017/108017	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2013:57:09%20GMT	https://compology.com/	compology.com/index.html	(from )
10:57:10	170/170	---M--	200	added ('OK')	text/plain	date:Wed,%2014%20Dec%202022%2013:57:08%20GMT	https://compology.com/robots.txt		(from )
10:57:10	146/146	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Dec%202022%2013:57:10%20GMT	https://compology.com/wp-content/themes/compology/images/favicon.ico	compology.com/wp-content/themes/compology/images/favicon.ico	(from https://compology.com/)
10:57:12	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2014%20Dec%202022%2013:57:11%20GMT	https://compology.com/xmlrpc.php	compology.com/xmlrpc.php	(from https://compology.com/)
10:57:12	94889/94889	---MCZ	200	added ('OK')	text/css	etag:W/%22636e62ad-172a9%22	https://compology.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	compology.com/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://compology.com/)
10:57:13	217/217	---M--	200	added ('OK')	text/css	etag:%226357e86c-d9%22	https://compology.com/wp-includes/css/classic-themes.min.css?ver=1	compology.com/wp-includes/css/classic-themes.min68b3.css	(from https://compology.com/)
10:57:15	342435/342435	---MCZ	200	added ('OK')	text/css	etag:W/%22620d6b73-539a3%22	https://compology.com/wp-content/themes/compology/style.css?ver=1645046643	compology.com/wp-content/themes/compology/stylec17c.css	(from https://compology.com/)
10:57:15	293/293	---M--	500	error ('Internal%20Server%20Error')	text/xml	etag:%22509f9069b094d62f085215c5132df574%22	https://compology.com/feed/	compology.com/feed/index.html	(from https://compology.com/)
10:57:16	11835/11835	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263981a59-2e3b%22	https://compology.com/wp-content/plugins/google-analytics-dashboard-for-wp/assets/js/frontend-gtag.min.js?ver=7.11.0	compology.com/wp-content/plugins/google-analytics-dashboard-for-wp/assets/js/frontend-gtag.min1ee8.js	(from https://compology.com/)
10:57:16	88145/88145	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ebf0b84-15851%22	https://compology.com/wp-content/themes/compology/js/jquery-3.4.1.min.js?ver=3.4.1	compology.com/wp-content/themes/compology/js/jquery-3.4.1.min5589.js	(from https://compology.com/)
10:57:18	64123/64123	---MCZ	200	added ('OK')	application/json	date:Wed,%2014%20Dec%202022%2013:57:17%20GMT	https://compology.com/wp-json/wp/v2/pages/66406	compology.com/wp-json/wp/v2/pages/66406.json	(from https://compology.com/)
10:57:18	254015/254015	---MCZ	200	added ('OK')	application/json	date:Wed,%2014%20Dec%202022%2013:57:18%20GMT	https://compology.com/wp-json/	compology.com/wp-json/index.html	(from https://compology.com/)
10:57:19	2376/2376	---MCZ	200	added ('OK')	application/json	date:Wed,%2014%20Dec%202022%2013:57:18%20GMT	https://compology.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcompology.com%2F	compology.com/wp-json/oembed/1.0/embed80df.json	(from https://compology.com/)
10:57:20	2447/2447	---MCZ	200	added ('OK')	text/xml	date:Wed,%2014%20Dec%202022%2013:57:19%20GMT	https://compology.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcompology.com%2F&format=xml	compology.com/wp-json/oembed/1.0/embed0fbe	(from https://compology.com/)
10:57:20	981/981	---M--	200	added ('OK')	image/png	etag:%225eac87df-3d5%22	https://compology.com/wp-content/uploads/2020/04/cropped-Compology_Symbol_Primary-32x32.png	compology.com/wp-content/uploads/2020/04/cropped-Compology_Symbol_Primary-32x32.png	(from https://compology.com/)
10:57:21	3879/3879	---M--	200	added ('OK')	image/png	etag:%225eac87df-f27%22	https://compology.com/wp-content/uploads/2020/04/cropped-Compology_Symbol_Primary-192x192.png	compology.com/wp-content/uploads/2020/04/cropped-Compology_Symbol_Primary-192x192.png	(from https://compology.com/)
10:57:22	3790/3790	---M--	200	added ('OK')	image/png	etag:%225eac87df-ece%22	https://compology.com/wp-content/uploads/2020/04/cropped-Compology_Symbol_Primary-180x180.png	compology.com/wp-content/uploads/2020/04/cropped-Compology_Symbol_Primary-180x180.png	(from https://compology.com/)
10:57:24	89640/89640	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2013:57:23%20GMT	https://compology.com/customer-stories	compology.com/customer-stories.html	(from https://compology.com/)
10:57:25	153603/153603	---M--	200	added ('OK')	image/jpeg	etag:%2260c13d9a-25803%22	https://compology.com/wp-content/uploads/2021/06/Home-Page_Poster-Image_Final-1920x1080.jpg	compology.com/wp-content/uploads/2021/06/Home-Page_Poster-Image_Final-1920x1080.jpg	(from https://compology.com/)
10:57:25	93253/93253	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Dec%202022%2013:57:25%20GMT	https://compology.com/industries/retail-and-corporate/	compology.com/industries/retail-and-corporate/index.html	(from https://compology.com/)
